"Commissioner","Date","Location","Entity","Subject"
"Tibor Navracsics","23/04/2015","Brussels","European Federation for Intercultural Learning                                                                                    Y.E.S.-EWIV YOUTH AND EUROPEAN SOCIAL WORK- EUROPAISCHE WIRTSCHAFTLICHE INTERESSENVEREINIGUNG ZUR FORDERUNG DER HUMANRESSOURCEN                                                                                    European Confederation of Youth Clubs                                                                                    European Students' Union                                                                                    Youth for Exchange and Understanding                                                                                    European Educational Exchanges – Youth for Understanding                                                                                    Forum of European Muslim Youth and Student Organisations                                                                                    Jeunes Entrepreneurs de l'Union Européenne                                                                                    European Youth Forum                                                                                    European Youth Press                                                                                    European Union of Jewish Students","Tackling the radicalisation of young people"
"Tibor Navracsics","23/04/2015","Brussels","Fédération Internationale des Footballeurs Professionnelles Division Europe","Social dialogue in football"
"Tibor Navracsics","23/04/2015","Brussels","ELTE & UNICA","Higher education policy, including Erasmus+, EFSI abd the role of UNICA"
"Tibor Navracsics","01/04/2015","Brussels","Federation of European Publishers","Copyright, Educational publishing"
"Tibor Navracsics","30/03/2015","Stockholm, Sweden","European Club Association","Introductory meeting, exchange of views on major current issues affecting European club football and signature of a cooperation agreement on the European Week of Sport"
"Tibor Navracsics","24/03/2015","Brussels","Microsoft Corporation","Digital Education"
"Tibor Navracsics","23/03/2015","Brussels","Society of Audiovisual Authors","Copyright"
"Tibor Navracsics","23/03/2015","Brussels","The Russell Group of Universities","Higher Education policy"
"Tibor Navracsics","05/03/2015","Brussels","EUN Partnership aisbl","The meeting will address current and future cooperation between DG EAC and European Schoolnet (EUN); more specifically, what will be the vision and priorities for eTwinning and the School Education Gateway (SEG)."
"Tibor Navracsics","03/03/2015","Brussels","Federal Union of European Nationalities","The situation of minority languages in Europe"
"Tibor Navracsics","03/03/2015","Brussels","European Digital Media Association","Digital Single Market, Copyright"
"Tibor Navracsics","17/02/2015","Brussels","PRS for Music","Introductory meeting + copyright law"
"Tibor Navracsics","03/02/2015","Brussels","European Jewish Association","Introductory meeting and areas of common interests"
"Tibor Navracsics","29/01/2015","Brussels","Magyar Rektori Konferencia","Higher Education policy"
"Tibor Navracsics","29/01/2015","Brussels","Amazon Europe Core SARL","Minority languages, Multilingualism, Copyright"
"Tibor Navracsics","27/01/2015","Brussels, Belgium","European Youth Forum","Introductory meeting, exchange of views and priorities for youth policy 2015"
"Tibor Navracsics","27/01/2015","Brussels","European Union National Institutes for Culture","Copyright"
"Tibor Navracsics","22/01/2015","Brussels","German Rectors' Conference","Cooperation in Higher education"
"Tibor Navracsics","20/01/2015","Brussels","General Electric Company","Meeting with GE"
"Tibor Navracsics","19/01/2015","Brussels","Société des Auteurs, Compositeurs et Editeurs de Musique","Copyright"
"Tibor Navracsics","12/01/2015","Brussels","European Union Youth Orchestra","Introductory meeting"
"Tibor Navracsics","11/12/2014
            	     
            	     	(Cancelled)","Brussels","Platform of European Memory and Conscience","European Memory and Conscience"
"Tibor Navracsics","09/12/2014","Brussels","European Magazine Media Association","Exchange of views and priorities for the culture sector 2015"
"Tibor Navracsics","09/12/2014","Brussels","European Festivals Association","Exchange of views and priorities for the culture sector 2015"
"Tibor Navracsics","08/12/2014","Brussels","Culture Action Europe","Exchange of views and priorities for the culture sector 2015"
"Tibor Navracsics","04/12/2014","Brussels, Belgium","EUROCHAMBRES – Association of European Chambers of Commerce and Industry","Education"
"Tibor Navracsics","04/12/2014","Brussels, Belgium","FIBA Europe e.V.","Home-grown players (HGP) in leagues around Europe"
"Tibor Navracsics","02/12/2014","Brussels","Groupement Européen des Sociétés d'Auteurs et Compositeurs","Exchange of views and priorities for the culture sector 2015"
"Günther H. Oettinger","20/02/2015","Mainz, Germany","Zweites Deutsches Fernsehen","Digital Economy and Society"
"Günther H. Oettinger","23/01/2015","Davos","Facebook","Digital Economy"
"Günther H. Oettinger","23/01/2015","Davos","Microsoft Corporation","Digital Single Market / digital skills"
"Günther H. Oettinger","21/01/2015","Brussels","Telenor","Digital Economy and Society"
"Günther H. Oettinger","19/01/2015","Brussels","Google","Digital Economy and Society"
"Günther H. Oettinger","14/01/2015","Berlin, Germany","Deutsche Telekom","Digital Economy and Society"
"Günther H. Oettinger","06/01/2015","Brussels","Vodafone Belgium SA","Digital Economy and Society"
"Günther H. Oettinger","18/12/2014","Strasbourg","European Telecommunications Network Operators' Association","Digital Economy and Society"
"Günther H. Oettinger","17/12/2014","Brussels","SES S.A.","Digital Economy and Society"
"Günther H. Oettinger","16/12/2014","Brussels","JPMorganChase & Co.","Digital Economy and Society"
"Günther H. Oettinger","11/12/2014","Brussels","BUSINESSEUROPE","Digital Agenda"
"Günther H. Oettinger","11/12/2014","Brussels","Fabasoft","Cloud"
"Günther H. Oettinger","11/12/2014","Brussels","Hewlett-Packard","Digital economy and society"
"Günther H. Oettinger","09/12/2014","Cologne, Germany","Wirtschaftsrat der CDU e.V.","Digital economy and society"
"Günther H. Oettinger","08/12/2014","Frankfurt, Germany","Industriegewerkschaft Metall","Digtal economy and society"
"Günther H. Oettinger","08/12/2014","Brussels","Telecom Italia","Developments EU telecom sector"
"Günther H. Oettinger","06/12/2014","Reutlingen, Germany","DIE FAMILIENUNTERNEHMER - ASU (RK Südwürttemberg)","Digital economy and society"
"Günther H. Oettinger","04/12/2014","Brussels","Mediaset","Digital economy and society"
"Günther H. Oettinger","04/12/2014","BERL 9","Mediaset SpA","Telecom Single Market/Audiovisual Policy/Copyright/Spectrum Policy"
"Günther H. Oettinger","04/12/2014","Brussels","Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.","Digital Agenda"
"Günther H. Oettinger","02/12/2014","Brussels","LVMH Publica","Security and benefits of digital economy"
"Günther H. Oettinger","02/12/2014","Brussels","EKD-Büro Brüssel / EKD-Office Brussels","Courtesy call"
"Günther H. Oettinger","02/12/2014","Brussels","Fraunhofer-Gesellschaft","Digital Society"
"Günther H. Oettinger","02/12/2014","Brussels","Groupement Européen des Sociétés d'Auteurs et Compositeurs","Presentation of study"
"Maroš Šefčovič","27/04/2015","Brussels","UNIFE","Railway transport + Energy Union"
"Maroš Šefčovič","21/04/2015","Brussels","GDF SUEZ                                                                                    ČEZ, a.s.                                                                                    IBERDROLA                                                                                    GasTerra","Energy Union"
"Maroš Šefčovič","20/04/2015","Brussels","Eni S.p.A.                                                                                    E.ON                                                                                    GdF Suez                                                                                    PGNiG                                                                                    OMV                                                                                    RWE                                                                                                                        SPP                                                               Statoil","Gas storage"
"Maroš Šefčovič","20/03/2015","Brussels","Long-Term Infrastructure Investors Association","Investment in Infrastructure and Energy efficiency"
"Maroš Šefčovič","18/03/2015","Brussels","Eurochambres","Energy Union, general EU issues"
"Maroš Šefčovič","18/03/2015","Brussels","EMI","Energy Union and the citizens, energy union action plan and role of stakeholders"
"Maroš Šefčovič","04/03/2015","Brussels","Statnett","Energy Union, interconnections, digital dimension"
"Maroš Šefčovič","03/03/2015","Brussels","Wirtschaftsrat der CDU e.V.","Energy Union - security of supply"
"Maroš Šefčovič","24/02/2015","Brussels","CEEP - European Centre of Employers and Enterprises providing Public Services","Energy Union"
"Maroš Šefčovič","04/02/2015","Brussels","Eni S.p.A.","Presentation of ENI"
"Maroš Šefčovič","04/02/2015","Brussels, BE","BP p.l.c.","Energy Union"
"Maroš Šefčovič","03/02/2015","Brussels, BE","Green 10","Energy Union"
"Maroš Šefčovič","03/02/2015","Brussels, Be","GDF SUEZ","Energy Union"
"Maroš Šefčovič","30/01/2015","Brussels","European Aluminium Association","Presentation of EAA and Energy Union"
"Maroš Šefčovič","29/01/2015","Brussels","EURELECTRIC aisbl","Energy Union"
"Maroš Šefčovič","28/01/2015","Brussels","ENEL Spa","Presentation of ENEL"
"Maroš Šefčovič","28/01/2015","Brussels","ENEL SpA","Energy Union"
"Maroš Šefčovič","28/01/2015","Brussels","EURACOAL","Energy Union"
"Maroš Šefčovič","26/01/2015","Brussels","European Network of Transmission System Operators for Electricity","Energy Union"
"Maroš Šefčovič","26/01/2015","Brussels","SOCAR Representative Office in Belgium","Energy policy developments"
"Maroš Šefčovič","23/01/2015","Davos","OMV Aktiengesellschaft","Bilateral meeting with CEO Dr Gerhard Roiss"
"Maroš Šefčovič","22/01/2015","Davos","Koninklijke Philips","Bilateral meeting with CEO Eric Rondolat"
"Maroš Šefčovič","22/01/2015","Davos","Greenpeace European Unit","Bilateral meeting with John Sauven"
"Maroš Šefčovič","15/01/2015","Brussels","EUROPEAN TRADE UNION CONFEDERATION","Discussion about Energy Union and role of social partners"
"Maroš Šefčovič","14/01/2015","Moscow","Gazprom","Meeting with CEO Alexey Borisovich"
"Maroš Šefčovič","12/01/2015","Brussels","International Association of Oil & Gas Producers","Energy Union"
"Maroš Šefčovič","18/12/2014","Brussels","BUSINESSEUROPE","Energy Union"
"Maroš Šefčovič","08/12/2014","Brussels","European Wind Energy Association","Energy Union"
"Maroš Šefčovič","04/12/2014","Brussels","The European Steel Association","Energy Union Projects"
"Maroš Šefčovič","04/12/2014","Brussels","Österreichischer Gewerkschaftsbund                                                                                    Landwirtschaftskammer Österreich                                                                                    Bundesarbeitskammer Österreich                                                                                    Wirtschaftskammer Österreich","Energy and Climate Policy"
"Maroš Šefčovič","04/12/2014","Brussels","European Chemical Industry Council","Energy and Climate Policy"
"Christos Stylianides","21/04/2015","Berlaymont","Save the Children","Children protection in emergencies"
"Christos Stylianides","20/03/2015","Brussels","Open Society European Policy Institute","Situation in Ukraine and support from the EU"
"Christos Stylianides","22/01/2015","Berlaymont","World Animal Protection","Livestock protection and Disaster Risk Reduction"
"Christos Stylianides","20/01/2015","Brussels, Belgium","Voluntary Organisations in Cooperation in Emergencies","Overall humanitarian issues"
"Christos Stylianides","19/12/2014","Berlaymont","Action contre la Faim","Humanitarian Aid Effectiveness / Ebola"
"Christos Stylianides","18/12/2014","Berlaymont","ONE","Ebola"
"Marianne Thyssen","04/05/2015","Brussels","European Transport Workers' Federation","Social aspects of transport policy"
"Marianne Thyssen","20/04/2015","Brussels","Confederation of Family Organisations in the European Union","Meeting with Coface delegation"
"Marianne Thyssen","20/04/2015","Brussels, Belgium","COFACE","Social and employment priorities"
"Marianne Thyssen","20/04/2015","Brussels, Belgium","European Disability Forum","European Disability Policy"
"Marianne Thyssen","17/04/2015","Brussels","European Federation of Building and Woodworkers                                                                                    European Construction Industry Federation","Labour mobility and social protection in the EU construction sector"
"Marianne Thyssen","14/04/2015","Brussels","Bertelsmann Stiftung","EU employment and social policy"
"Marianne Thyssen","19/03/2015","Brussels","Reading & Writing Foundation","Literacy skills"
"Marianne Thyssen","03/03/2015","Brussels","European Deafblind Network","Rights of people with disabilities in Europe"
"Marianne Thyssen","05/02/2015","Berl 10/411","EUROCHAMBRES – Association of European Chambers of Commerce and Industry","Eurochambres meeting: 'Skills and Apprenticeships'"
"Marianne Thyssen","04/02/2015","Brussels, Belgium","Nestlé S.A.","Youth employability and apprenticeships"
"Marianne Thyssen","02/02/2015","Brussels, Belgium","Koninklijke Federatie van Belgische Transporteurs en Logistieke Dienstverleners - Fédération Royale Belge des Transporteurs et des Prestataires de Services Logistiques                                                                                    European Road Haulers Association","Labour conditions in the transport section"
"Marianne Thyssen","28/01/2015","Brussels, Belgium","Deutscher Gewerkschaftsbund                                                                                    Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.","Social and employment priorities of the new European Commission"
"Marianne Thyssen","19/12/2014","BRUSSELS - BELGIUM","Boerenbond","EU agricultural policy and labour mobility"
"Marianne Thyssen","09/12/2014","Brussels","Gemeentelijk Havenbedrijf Antwerpen","EU Policy and its impact on harbours"
"Frans Timmermans","05/05/2015
            	     
            	     	(Cancelled)","Brussels","amnesty international","upcoming migration agenda"
"Frans Timmermans","05/05/2015","Brussels","Amnesty International                                                                                    Human Rights Watch                                                                                    European Council on Refugees and Exiles                                                                                    Platform for International Cooperation on Undocumented Migrants","Upcoming migration agenda"
"Frans Timmermans","30/04/2015","Brussels","eurelectric","Energy Union"
"Frans Timmermans","20/04/2015","Brussels","Eindhoven brainport","regional policy and innovation"
"Frans Timmermans","14/04/2015","Brussels","Federatie Nederlandse Vakbeweging","better regulation and social dialogue"
"Frans Timmermans","14/04/2015","Berlaymont, Brussels","International Federation for Human Rights                                                                                    Platform of European Social NGOs                                                                                    European Network Against Racism                                                                                    Amnesty International European Institutions Office                                                                                    European Youth Forum                                                                                    Open Society European Policy Institute                                                                                    CEJI - A Jewish Contribution to an Inclusive Europe                                                                                    Forum of European Muslim Youth and Student organisations","Annual Colloquium on the situation of fundamental rights in the EU"
"Frans Timmermans","13/04/2015","Brussels","Union européenne de l'Artisanat et des petites et moyennes entreprises, aisbl","Better regulation / Small Business Act"
"Frans Timmermans","31/03/2015","Brussels","societa italiana per l'organizzazione internazionale","SIOI international activities"
"Frans Timmermans","30/03/2015","Brussels","european small business alliance","better regulation and access to finance"
"Frans Timmermans","30/03/2015","Brussels","european round table industrial companies","better regulation, digital single market, TTIP"
"Frans Timmermans","27/03/2015","Hoboken","umicore","circular economy"
"Frans Timmermans","26/03/2015","Brussels","Mouvement des Entreprises de France","better regulation"
"Frans Timmermans","23/03/2015","Brussels","International Air Transport Association","Better Regulation"
"Frans Timmermans","18/03/2015","Brussels","EUROCHAMBRES – Association of European Chambers of Commerce and Industry","Better regulation and TTIP"
"Frans Timmermans","18/03/2015","Brussels","EUROCHAMBRES – Association of European Chambers of Commerce and Industry","Better regulation and TTIP"
"Frans Timmermans","16/03/2015","Brussels","Council of European Employers of the Metal and Engineering","Better regulation"
"Frans Timmermans","03/03/2015","Brussels","ING Group","Economic situation / financial services and better regulation"
"Frans Timmermans","03/03/2015
            	     
            	     	(Cancelled)","Brussels","ING Group","Better regulation and European affairs"
"Frans Timmermans","03/03/2015","Brussels","European Environmental Bureau                                                                                    Bureau Européen des Unions de Consommateurs                                                                                    EUROPEAN TRADE UNION CONFEDERATION                                                                                    European Public Health Alliance","Better regulation"
"Frans Timmermans","02/03/2015","Brussels","International Rescue Committee Inc","European affairs"
"Frans Timmermans","27/02/2015","Brussels","KLM Royal Dutch Airlines                                                                                    KPN                                                                                    ABN AMRO Bank N.V.                                                                                    PostNL Holding B.V.","Better regulation and European affairs in general"
"Frans Timmermans","25/02/2015
            	     
            	     	(Cancelled)","Brussels","Conseil des Communes et Régions d'Europe","Better regulation"
"Frans Timmermans","23/02/2015","Brussels","The European Steel Association","Better regulation"
"Frans Timmermans","20/02/2015","Madrid","Confederación Española de Organizaciones Empresariales","Better regulation"
"Frans Timmermans","16/02/2015","Paris","Confederation generale des petites et moyennes entreprises","Better Regulation"
"Frans Timmermans","13/02/2015","Brussels","CEE Bankwatch Network                                                                                    Health & Environment Alliance                                                                                    Transport and Environment (European Federation for Transport and Environment)                                                                                    Climate Action Network Europe                                                                                    Friends of the Earth Europe                                                                                    WWF European Policy Programme                                                                                    Stichting BirdLife Europe                                                                                    Greenpeace European Unit","Meeting with Representatives of Green 10 on CWP 2015"
"Frans Timmermans","09/02/2015","Brussels","RegWatchEurope (Regulatory Policy Committee)                                                                                    RegWatchEurope (Nationaler Normenkontrollrat)                                                                                    RegWatchEurope (Regelradet)                                                                                    RegWatchEurope (Regulatory Impact ~Assessment Board)                                                                                    RegWatchEurope (ACTAL)","Meeting with Representatives of RegWatchEurope on better regulation"
"Frans Timmermans","04/02/2015
            	     
            	     	(Cancelled)","Brussels","Royal DSM","Mr. A. Nicolai, Digital Single Market"
"Frans Timmermans","29/01/2015","Copenhagen","Confederation of Danish Industry","Better regulation"
"Frans Timmermans","23/01/2015","Davos","Confederation of British Industry","Better regulation"
"Frans Timmermans","23/01/2015
            	     
            	     	(Cancelled)","Davos","Facebook","Meeting with Mrs Sandberg and J. Kaplan, VP Facebook"
"Frans Timmermans","23/01/2015","Davos","International Federation of Red Cross and Red Crescent Societies","Fundamental rights, security and better regulation"
"Frans Timmermans","22/01/2015","Davos","Heineken N.V.","Better regulation"
"Frans Timmermans","22/01/2015","Davos","Liberty Global, Inc.","Better regulation"
"Frans Timmermans","22/01/2015","Davos","Anheuser-Busch InBev nv/sa","Better regulation"
"Frans Timmermans","22/01/2015","Davos","World Business Council for Sustainable Development","Sustainable development and better regulation"
"Frans Timmermans","22/01/2015","Davos","World Economic Forum","Better regulation"
"Frans Timmermans","15/01/2015","Sassenheim","Akzo Nobel Deco GmH                                                                                    AGE Platform Europe                                                                                    Electricité de France                                                                                    Platform of European Social NGOs                                                                                    European Women's Lobby                                                                                    International Federation for Human Rights                                                                                    Human Rights Watch","Better regulation and European affairs in general"
"Frans Timmermans","09/01/2015","Brussels","AGE Platform Europe                                                                                    European Disability Forum                                                                                    Human Rights Watch                                                                                    Amnesty International European Institutions Office                                                                                    European Council on Refugees and Exiles                                                                                    European Youth Forum                                                                                    European Network on Religion and Belief                                                                                    European Network Against Racism                                                                                    Platform of European Social NGOs                                                                                    The European Region of the International Lesbian, Gay, Bisexual, Trans and Intersex Association                                                                                    European Women's Lobby                                                                                    International Federation for Human Rights","Roundtable with NGO's on fundamental rights"
"Frans Timmermans","06/01/2015","Eindhoven","Eindhoven-Brainport EU Office","Speaker The New Horizon - breaking boundaries"
"Frans Timmermans","11/12/2014","Brussels","Bureau Européen des Unions de Consommateurs","Consumer policy, better regulation, sustainable development, transparency, ISDS"
"Frans Timmermans","04/12/2014","Brussels","EUROPEAN TRADE UNION CONFEDERATION","Fundamental rights, better regulation, ISDS"
"Frans Timmermans","02/12/2014","Brussels","Policy Network and Communications Ltd","Accelerate growth, reform regulation,"
"Karmenu  Vella","26/03/2015","Kiel","Helmholtz-Gemeinschaft Deutscher Forschungszentren e.V.","Marine Research"
"Karmenu  Vella","26/03/2015","Kiel","ThyssenKrupp AG","Blue Growth"
"Karmenu  Vella","24/03/2015","Sofia, Bulgaria","The Regional Environmental Center for Central and Eastern Europe                                                                                    BUSINESSEUROPE                                                                                    CECED Bulgaria                                                                                    ЕКОПАК БЪЛГАРИЯ АД                                                                                    WWF - UK                                                                                    Greenpeace European Unit","Circular Economy"
"Karmenu  Vella","19/03/2015","Brussels","PlasticsEurope Services SPRL","Circular Economy and Resource Efficiency"
"Karmenu  Vella","17/03/2015","Brussels","European Federation of Waste Management and Environmental Services","Circular Economy"
"Karmenu  Vella","17/03/2015","BERL","Stichting BirdLife Europe                                                                                    Federation of Associations for Hunting & Conservation of the EU","REFIT of Nature Legislation"
"Karmenu  Vella","09/03/2015","Brussels","European Farmers                                                                                    European agri-cooperatives","REFIT of Birds and Habitats"
"Karmenu  Vella","02/03/2015","Brussels","New Under Ten Fishermen's Association","Implementation of the CFP (allocation of quotas; role and representation of small-scale, low impact, artisanal fishers' organisations)"
"Karmenu  Vella","26/02/2015","Brussels","Conseil des Communes et Régions d'Europe","Environment Policy, Local Authorities"
"Karmenu  Vella","04/02/2015","Brussels","Conference of Peripheral Maritime Regions (CRPM)","Blue growth, regional maritime strategies, environmental liability"
"Karmenu  Vella","04/02/2015","Brussels","Seas at Risk                                                                                    OCEANA                                                                                    WWF European Policy Programme                                                                                    Stichting BirdLife Europe                                                                                    ClientEarth","Blue and green growth, Marine Strategy Framework Directive, Marine litter, Aquaculture, Seabed mining"
"Karmenu  Vella","03/02/2015","Paris","Infomer","Blue growth"
"Karmenu  Vella","03/02/2015","Paris","Comité national des pêches maritimes et des élevages marins","Implementation of reformed common fisheries policy, aquaculture"
"Karmenu  Vella","03/02/2015","Paris","Syndicat des énergies renouvelables","Marine renewable energy"
"Karmenu  Vella","03/02/2015","Paris","Wärtsilä Corporation","Blue Growth"
"Karmenu  Vella","03/02/2015","Paris","IHC Hytech BV","Blue growth"
"Karmenu  Vella","03/02/2015","Paris","Armateurs de France","Blue growth"
"Karmenu  Vella","03/02/2015","Paris","Technip","Blue growth"
"Karmenu  Vella","02/02/2015","Brussels","WILDLIFE CONSERVATION SOCIETY-EUROPE","Wildlife protection, illegal wildlife trade"
"Karmenu  Vella","27/01/2015","Brussels, Belgium","European Wind Energy Association","Blue growth, marine renewable energy, maritimal spatial planning, Energy Union"
"Karmenu  Vella","26/01/2015","Brussels","Bureau Européen des Unions de Consommateurs (BEUC)","Circular Economy and Chemical Policy"
"Karmenu  Vella","19/01/2015","Brussels, Belgium","European Industry Association of Fish Processors & Traders","Autonomous Tariff Quotas, labelling, market trends, landing obligation"
"Karmenu  Vella","19/01/2015","Brussels, Belgium","OCEANA                                                                                    WWF European Policy Programme                                                                                    The Pew Charitable Trusts","Illegal, Unreported and Unregulated Fishing"
"Karmenu  Vella","18/12/2014","Brussels, Belgium","Confederación Española de Pesca","Implementation of the Common Fisheries Policy"
"Karmenu  Vella","12/12/2014","Brussels, Belgium","Association of National Organisations of Fishing Enterprises in the European Union","Common Fisheries Policy (fishing opportunities, landing obligation, driftnets, deep sea access, technical measures, sustainable fisheries partnership agreements)"
"Karmenu  Vella","04/12/2014","Brussels, Belgium","The Pew Charitable Trusts                                                                                    OCEANA                                                                                    WWF European Policy Programme                                                                                    Seas at Risk                                                                                    Greenpeace European Unit                                                                                    Stichting BirdLife Europe                                                                                    ClientEarth","Implementation of the reformed Common Fisheries Policy, Ocean Governance, Deep Sea Access"
"Karmenu  Vella","04/12/2014","Brussels","European Chemical Industry Council","Circular Economy and REACH"
"Margrethe  Vestager","27/04/2015","Copenhagen, Denmark","Danish Agriculture and Food Council","Commission priorities and work programme"
"Margrethe  Vestager","23/03/2015","Brussels, Belgium","European Broadcasting Union","Role and challenges of Public Service Media"
"Margrethe  Vestager","18/03/2015","Brussels, Belgium","World Economic Forum","World Economic Forum’s Europe programme"
"Margrethe  Vestager","03/02/2015","Brussels, Belgium","Le Cercle de l'Industrie","Introduction to Le Cercle de l'Industrie"
"Margrethe  Vestager","02/02/2015","Brussels, Belgium","BUSINESSEUROPE","Introduction to BusinessEurope"
"Margrethe  Vestager","29/01/2015","Brussels, Belgium","European Round Table of Industrialists","Introduction to the European Round Table of Industrialists"
"Margrethe  Vestager","26/01/2015","Brussels, Belgium","European Union Chamber of Commerce in China","Presentation of the Business Environment in China"
"Margrethe  Vestager","05/12/2014","Brussels, Belgium","European Patent Office","Introduction to the European Patent Office"
"Jean-Claude Juncker","08/05/2015","Brussels","ENGIE","Meeting with Etienne Davignon on political priorities of this Commission"
"Jean-Claude Juncker","06/05/2015","Brussels","Bundesverband Deutscher Zeitungsverleger","Speech on free and independent press in Europe"
"Jean-Claude Juncker","30/04/2015","Brussels","Joachim Bitterlich, Ambassadeur e.r., Professeur (affilié) à l'ESCP Europe Paris","Meeting with Joachim Bitterlich on political priorities and Investment Plan"
"Jean-Claude Juncker","17/04/2015","Brussels","Deutsche Bank","Meeting with Luc Frieden on Jobs and Growth agenda of the new Commission"
"Jean-Claude Juncker","24/03/2015","Brussels","Kofi Annan Foundation","Meeting with Kofi Annan"
"Jean-Claude Juncker","23/03/2015","Brussels","EUROPEAN TRADE UNION CONFEDERATION","Meeting with Bernadette Segol - General Secretary ETUC"
"Jean-Claude Juncker","20/03/2015","Brussels","Open Society European Policy Institute","Meeting with George Soros"
"Jean-Claude Juncker","02/03/2015","Berlin","Bundesverband der Deutschen Industrie e.V.","Speaker at BDI (German industry federation) gala dinner"
"Jean-Claude Juncker","26/02/2015","Brussels","European Publishers Council","Receives CEOs of European Publisher Groups"
"Jean-Claude Juncker","24/02/2015","Brussels","Jens-Peter Bonde","Meeting with Jens-Peter Bonde"
"Jean-Claude Juncker","18/02/2015","Berlaymont, Brussels","Mouvement des Entreprises de France","Meeting with Mr Pierre Gattaz on the political priorities of this Commission"
"Jean-Claude Juncker","16/02/2015","Brussels","Atos SE","Meeting with Thierry Breton on political priorities of this Commission"
"Jean-Claude Juncker","22/01/2015","Brussels","Bill & Melinda Gates Foundation","Meeting with Mr Bill Gates on Global Development matters"
